pr_title,pr_url,pr_number,state,author_name,author_url,created_at,updated_at,closed_at,merged_at,assignee_name,assignee_url,requested_reviewers,labels,milestone_title,commit_sha,commit_ref,base_branch,description,review_comments_url,commits_url,statuses_url,pr_author_association
feat(challenge-parser): add many questions challenges,https://github.com/freeCodeCamp/freeCodeCamp/pull/55884,55884,open,moT01,https://github.com/moT01,2024-08-16T18:39:11Z,2024-08-20T13:47:21Z,,,,,[],"['status: blocked', 'scope: curriculum', 'platform: learn', 'scope: tools/scripts']",,db55269e35c385582bfa80ce0f72c92a181b0b4e,feat/add-many-questions-challenges,main,"This is a start to allowing many multiple choice questions on a single challenge. It adjusts the challenge parser to look for headings `# --question-1--`, `# --question-2--`, etc. and puts the questions in an array.

For now, the client just gets the first in the array and uses the rest of the existing code. I will make another PR to map over them and display them all.

Checklist:

<!-- Please follow this checklist and put an x in each of the boxes, like this: [x]. It will ensure that our team takes your pull request seriously. -->

- [x] I have read and followed the [contribution guidelines](https://contribute.freecodecamp.org).
- [x] I have read and followed the [how to open a pull request guide](https://contribute.freecodecamp.org/how-to-open-a-pull-request/).
- [x] My pull request targets the `main` branch of freeCodeCamp.
- [x] I have tested these changes either locally on my machine, or GitPod.

<!--If your pull request closes a GitHub issue, replace the XXXXX below with the issue number.-->

Closes #XXXXX

<!-- Feel free to add any additional description of changes below this line -->

Partially addresses https://github.com/freeCodeCamp/fCC10/issues/19

Todo:
-Make client handle many questions
-Update docs",https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55884/comments,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55884/commits,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/statuses/db55269e35c385582bfa80ce0f72c92a181b0b4e,MEMBER
fix(curriculum): step 11 implict return fix,https://github.com/freeCodeCamp/freeCodeCamp/pull/55869,55869,open,gagan-bhullar-tech,https://github.com/gagan-bhullar-tech,2024-08-15T00:30:39Z,2024-09-03T22:13:07Z,,,,,[],"['status: waiting review', 'scope: curriculum']",,e53a7c8c04263776532bd008fce650e0c302f42e,building-todo-app-step-11-implicit-return,main,"Checklist:

<!-- Please follow this checklist and put an x in each of the boxes, like this: [x]. It will ensure that our team takes your pull request seriously. -->

- [x] I have read and followed the [contribution guidelines](https://contribute.freecodecamp.org).
- [x] I have read and followed the [how to open a pull request guide](https://contribute.freecodecamp.org/how-to-open-a-pull-request/).
- [x] My pull request targets the `main` branch of freeCodeCamp.
- [x] I have tested these changes either locally on my machine, or GitPod.

<!--If your pull request closes a GitHub issue, replace the XXXXX below with the issue number.-->

Closes #55851

<!-- Feel free to add any additional description of changes below this line -->
",https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55869/comments,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55869/commits,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/statuses/e53a7c8c04263776532bd008fce650e0c302f42e,CONTRIBUTOR
feat: transform JSX in scripts,https://github.com/freeCodeCamp/freeCodeCamp/pull/55860,55860,open,ojeytonwilliams,https://github.com/ojeytonwilliams,2024-08-14T14:28:20Z,2024-09-03T16:00:03Z,,,,,[],"['status: waiting review', 'platform: learn']",,559e6857cf30a210babe6cb10e0de0a56cd2bc94,feat/new-react-curriculum,main,"Checklist:

<!-- Please follow this checklist and put an x in each of the boxes, like this: [x]. It will ensure that our team takes your pull request seriously. -->

- [x] I have read and followed the [contribution guidelines](https://contribute.freecodecamp.org).
- [x] I have read and followed the [how to open a pull request guide](https://contribute.freecodecamp.org/how-to-open-a-pull-request/).
- [x] My pull request targets the `main` branch of freeCodeCamp.
- [x] I have tested these changes either locally on my machine, or GitPod.

<!--If your pull request closes a GitHub issue, replace the XXXXX below with the issue number.-->

There's a lot to do before this is robust, but with this small change you can render inline JSX. This does mean that every challenge that uses `type=""text/babel""` will compile JSX, but I plan to fix that soon. Also, there aren't any challenges that use it at the moment.

For future reference, I tried to do this without making use of our transformation pipeline, but I couldn't see a nice way to handle imports. Typically what you do is import the module

```html
<script
   data-plugins=""transform-modules-umd""
   type=""text/babel""
   src=""thing-you-want.js"">
</script>
```

and then use that module

```html
 <script
   data-plugins=""transform-modules-umd""
   data-type=""module""
   type=""text/babel""
>
   import { thing } from './thing-you-want.js';
 </script>
 ```

but `thing-you-want.js` doesn't exist and so the first script doesn't attach the ""module"" to the global scope in a way that the importing script can use (via its ""moduleId"").  You can create custom presets for `transform-modules-umd`, to force the  moduleId, but you need one per file you'd like to import and it gets messy quickly.

I could be missing something obvious, but for now it seems easier to rely on the transformation pipeline.

---

To test:

1. Go to http://localhost:8000/learn/2022/responsive-web-design/learn-html-by-building-a-cat-photo-app/step-3
2. Replace all text in the index.html editor with the contents of https://gist.githubusercontent.com/gaearon/0275b1e1518599bbeafcde4722e79ed1/raw/db72dcbf3384ee1708c4a07d3be79860db04bff0/example.html
3. See ""Hello, world!"" in the preview

<!-- Feel free to add any additional description of changes below this line -->
",https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55860/comments,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55860/commits,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/statuses/559e6857cf30a210babe6cb10e0de0a56cd2bc94,CONTRIBUTOR
fix(curriculum): Accessibility Quiz use rem units for font-size,https://github.com/freeCodeCamp/freeCodeCamp/pull/55856,55856,open,Supravisor,https://github.com/Supravisor,2024-08-14T09:13:29Z,2024-09-04T04:22:50Z,,,,,[],"['status: waiting review', 'scope: curriculum']",,879a722ec1a06098781ff8afeaf02dad927ee736,a11yQuizRem,main,"Checklist:

<!-- Please follow this checklist and put an x in each of the boxes, like this: [x]. It will ensure that our team takes your pull request seriously. -->

- [x] I have read and followed the [contribution guidelines](https://contribute.freecodecamp.org).
- [x] I have read and followed the [how to open a pull request guide](https://contribute.freecodecamp.org/how-to-open-a-pull-request/).
- [x] My pull request targets the `main` branch of freeCodeCamp.
- [x] I have tested these changes either locally on my machine, or GitPod.

<!--If your pull request closes a GitHub issue, replace the XXXXX below with the issue number.-->

Related to #47830

<!-- Feel free to add any additional description of changes below this line -->
 
Replace `px` units with `rem` units for `font-size` attribute values.
Should fix: number 3",https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55856/comments,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55856/commits,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/statuses/879a722ec1a06098781ff8afeaf02dad927ee736,CONTRIBUTOR
feat(curriculum): explain shorthand stat calculator,https://github.com/freeCodeCamp/freeCodeCamp/pull/55846,55846,open,a2937,https://github.com/a2937,2024-08-13T20:12:29Z,2024-08-21T19:28:52Z,,,,,[],"['scope: curriculum', 'scope: i18n']",,2a45c6731bb132e7a32ff75b461ff08fbd4be0f5,feat(curriculum)/stats-calculator-shorthand,main,"Checklist:

<!-- Please follow this checklist and put an x in each of the boxes, like this: [x]. It will ensure that our team takes your pull request seriously. -->

- [X] I have read and followed the [contribution guidelines](https://contribute.freecodecamp.org).
- [X] I have read and followed the [how to open a pull request guide](https://contribute.freecodecamp.org/how-to-open-a-pull-request/).
- [X] My pull request targets the `main` branch of freeCodeCamp.
- [X] I have tested these changes either locally on my machine, or GitPod.

<!--If your pull request closes a GitHub issue, replace the XXXXX below with the issue number.-->

Closes #55689

<!-- Feel free to add any additional description of changes below this line -->
I added an extra step and did my best to explain how to transform the arrow function into the shorthand seen in the later steps. ",https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55846/comments,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55846/commits,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/statuses/2a45c6731bb132e7a32ff75b461ff08fbd4be0f5,MEMBER
feat(curriculum): add real-time counter lab,https://github.com/freeCodeCamp/freeCodeCamp/pull/55838,55838,open,zairahira,https://github.com/zairahira,2024-08-13T11:11:38Z,2024-09-04T19:41:12Z,,,,,"[{'reviewer_name': 'fhsinchy', 'reviewer_url': 'https://github.com/fhsinchy'}]","['status: waiting review', 'scope: curriculum', 'platform: learn', 'scope: i18n', 'frontend cert']",,67d6ab1f8861174d0d9683e67c8062cd6a2e3d47,feat/add-realtime-counter-lab,main,"Checklist:

<!-- Please follow this checklist and put an x in each of the boxes, like this: [x]. It will ensure that our team takes your pull request seriously. -->

- [ ] I have read and followed the [contribution guidelines](https://contribute.freecodecamp.org).
- [ ] I have read and followed the [how to open a pull request guide](https://contribute.freecodecamp.org/how-to-open-a-pull-request/).
- [ ] My pull request targets the `main` branch of freeCodeCamp.
- [ ] I have tested these changes either locally on my machine, or GitPod.

<!--If your pull request closes a GitHub issue, replace the XXXXX below with the issue number.-->

Closes #XXXXX

<!-- Feel free to add any additional description of changes below this line -->
",https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55838/comments,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55838/commits,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/statuses/67d6ab1f8861174d0d9683e67c8062cd6a2e3d47,MEMBER
fix(curriculum): enhance width calculation expressions,https://github.com/freeCodeCamp/freeCodeCamp/pull/55837,55837,open,TofikE124,https://github.com/TofikE124,2024-08-13T09:27:55Z,2024-08-20T17:57:13Z,,,,,[],['scope: curriculum'],,1c189b3c8b6db12baa97f9d67b96cce99af293b7,fix/collision-detection-math,main,"- [x] I have read and followed the [contribution guidelines](https://contribute.freecodecamp.org).
- [x] I have read and followed the [how to open a pull request guide](https://contribute.freecodecamp.org/how-to-open-a-pull-request/).
- [x] My pull request targets the `main` branch of freeCodeCamp.
- [x] I have tested these changes either locally on my machine, or GitPod.

Closes #55821 

# Summary of Updates

## Enhancements to Collision Detection and Width Calculations

These updates enhance the flexibility of collision detection rules and width calculations, allowing for a wider range of expression formats.

## Key Changes

### Step 84: Half Width Calculation
- **Previous Limitation:**
  - Only recognized straightforward expressions like:
    ```javascript
    player.position.x >= platform.position.x - player.width / 2
    ```
- **New Capabilities:**
  - Supports various formats, including:
    ```javascript
    player.position.x >= platform.position.x - (player.width / 2)
    player.position.x >= platform.position.x - player.width * 0.5
    player.position.x >= platform.position.x - (0.5 * player.width)
    ```

### Step 85: One-Third Width Calculation
- **Previous Limitation:**
  - Recognized only:
    ```javascript
    player.position.x <= platform.position.x + platform.width - player.width / 3
    ```
- **New Capabilities:**
  - Handles multiple expressions, such as:
    ```javascript
    player.position.x <= platform.position.x + platform.width - (player.width / 3)
    player.position.x <= platform.position.x + platform.width - player.width * 1/3
    player.position.x <= platform.position.x + platform.width - (1/3 * player.width)
    ```

### Step 88: Additional Variants for One-Third Width
- **Previous Limitation:**
  - Limited to specific formats for one-third width calculations.
- **New Capabilities:**
  - Accommodates various representations including:
    ```javascript
    player.position.x <= platform.position.x + platform.width - player.width / 3
    player.position.x <= platform.position.x + platform.width - (player.width / 3)
    player.position.x <= platform.position.x + platform.width - player.width * 1/3
    player.position.x <= platform.position.x + platform.width - (1/3 * player.width)
    ```

### Step 89: Final Calculation Adjustment
- **Previous Limitation:**
  - Expression for comparing player’s `x` position and platform's dimensions did not account for all valid formats.
- **New Capabilities:**
  - Now accommodates various valid expressions, including:
    ```javascript
    player.position.x <= platform.position.x + platform.width - player.width / 3
    player.position.x <= platform.position.x + platform.width - (player.width / 3)
    player.position.x <= platform.position.x + platform.width - player.width * 1/3
    player.position.x <= platform.position.x + platform.width - (1/3 * player.width)
    ```

## Examples of Code That Works Now

- **Half Width Calculation:**
  - **Before:**
    ```javascript
    player.position.x >= platform.position.x - player.width / 2
    ```
  - **Now:**
    ```javascript
    player.position.x >= platform.position.x - (player.width / 2)
    player.position.x >= platform.position.x - player.width * 0.5
    player.position.x >= platform.position.x - (0.5 * player.width)
    ```

- **One-Third Width Calculation:**
  - **Before:**
    ```javascript
    player.position.x <= platform.position.x + platform.width - player.width / 3
    ```
  - **Now:**
    ```javascript
    player.position.x <= platform.position.x + platform.width - (player.width / 3)
    player.position.x <= platform.position.x + platform.width - player.width * 1/3
    player.position.x <= platform.position.x + platform.width - (1/3 * player.width)
    ```

These updates ensure that the code now accommodates a broader range of calculations and formats, making it more flexible and versatile.

",https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55837/comments,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55837/commits,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/statuses/1c189b3c8b6db12baa97f9d67b96cce99af293b7,CONTRIBUTOR
fix(client): change claim cert link to render as a button,https://github.com/freeCodeCamp/freeCodeCamp/pull/55781,55781,open,huyenltnguyen,https://github.com/huyenltnguyen,2024-08-07T20:33:30Z,2024-08-28T22:16:59Z,,,,,[],"['status: waiting review', 'platform: learn', 'scope: tools/scripts']",,537563a35825f97b5f05a568506050f08deb6144,fix/claim-cert-button,main,"Checklist:

<!-- Please follow this checklist and put an x in each of the boxes, like this: [x]. It will ensure that our team takes your pull request seriously. -->

- [x] I have read and followed the [contribution guidelines](https://contribute.freecodecamp.org).
- [x] I have read and followed the [how to open a pull request guide](https://contribute.freecodecamp.org/how-to-open-a-pull-request/).
- [x] My pull request targets the `main` branch of freeCodeCamp.
- [x] I have tested these changes either locally on my machine, or GitPod.

<!--If your pull request closes a GitHub issue, replace the XXXXX below with the issue number.-->

On /settings, the Claim Certification buttons are rendered as links, but since this is an action, button should be a more appropriate element.

Ref: https://github.com/freeCodeCamp/freeCodeCamp/pull/55514#discussion_r1678239145.

<!-- Feel free to add any additional description of changes below this line -->
",https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55781/comments,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55781/commits,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/statuses/537563a35825f97b5f05a568506050f08deb6144,MEMBER
"Update Regex to Support alert, window.alert, and globalThis.alert",https://github.com/freeCodeCamp/freeCodeCamp/pull/55780,55780,open,harshitadubey1203,https://github.com/harshitadubey1203,2024-08-07T18:14:55Z,2024-09-02T08:12:16Z,,,,,[],"['scope: curriculum', 'status: waiting update', 'platform: learn', 'scope: tools/scripts']",,c8a480c750c583ced2f9230018a4562dc42b25cf,fix/Allow-all-valid-versions-of-browser-alert,main,"Checklist:

<!-- Please follow this checklist and put an x in each of the boxes, like this: [x]. It will ensure that our team takes your pull request seriously. -->

- [x] I have read and followed the [contribution guidelines](https://contribute.freecodecamp.org).
- [x] I have read and followed the [how to open a pull request guide](https://contribute.freecodecamp.org/how-to-open-a-pull-request/).
- [x] My pull request targets the `main` branch of freeCodeCamp.
- [x] I have tested these changes either locally on my machine, or GitPod.

<!--If your pull request closes a GitHub issue, replace the XXXXX below with the issue number.-->

Fixes #55559

<!-- Feel free to add any additional description of changes below this line -->",https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55780/comments,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55780/commits,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/statuses/c8a480c750c583ced2f9230018a4562dc42b25cf,NONE
feat(Curriculum) Add tasks B1 Block 1,https://github.com/freeCodeCamp/freeCodeCamp/pull/55770,55770,open,nieldakarla,https://github.com/nieldakarla,2024-08-06T16:24:19Z,2024-08-26T22:07:21Z,,,,,"[{'reviewer_name': 'DanielRosa74', 'reviewer_url': 'https://github.com/DanielRosa74'}]","['status: waiting review', 'scope: curriculum', 'scope: i18n', 'new english course']",,9c91278614acfdf5afda7f60b6109c33f5d9d8d7,feat/B1D1,main,"Created the tasks for Block 1. In this block, I’m experimenting with new ways to create more engaging tasks, including speaking and reading activities.

Speaking practices start from Dialogue 2 because I hadn't planned them when creating Dialogue 1. Since we don’t have speaking challenges, I designed tasks where learners choose between two options that characters might use. In the future, learners can practice speaking by repeating the selected answer, allowing them to check both understanding and speaking skills. 

Even if we can't implement speaking practice, these tasks will still be useful, as they work in either scenario.

Reading tasks are placed after the dialogue questions. For Dialogue 1, I created a summary, and for Dialogue 2 and 3, an email from one of the characters.

The reading blocks are currently enclosed in backticks, which doesn’t look appealing. It would be great if we could improve how they look, similar to the solution Oliver used for the fill-in-the-blanks.

I’m not sure if we’ll adopt all the solutions I’m proposing, but I’ve created these tasks to start the discussion. Please feel free to try them out and share your thoughts.

Checklist:

<!-- Please follow this checklist and put an x in each of the boxes, like this: [x]. It will ensure that our team takes your pull request seriously. -->

- [x] I have read and followed the [contribution guidelines](https://contribute.freecodecamp.org).
- [x] I have read and followed the [how to open a pull request guide](https://contribute.freecodecamp.org/how-to-open-a-pull-request/).
- [x] My pull request targets the `main` branch of freeCodeCamp.
- [x] I have tested these changes either locally on my machine, or GitPod.

<!--If your pull request closes a GitHub issue, replace the XXXXX below with the issue number.-->

<!-- Feel free to add any additional description of changes below this line -->
",https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55770/comments,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55770/commits,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/statuses/9c91278614acfdf5afda7f60b6109c33f5d9d8d7,CONTRIBUTOR
refactor(client): data sourcing for super-block-intro,https://github.com/freeCodeCamp/freeCodeCamp/pull/55751,55751,open,ojeytonwilliams,https://github.com/ojeytonwilliams,2024-08-05T09:04:51Z,2024-09-03T10:37:44Z,,,,,[],"['status: waiting update', 'platform: learn']",,6fda21f02157479d21ff4a419a70586d647549ba,refactor/superblock-intro,main,"Checklist:

<!-- Please follow this checklist and put an x in each of the boxes, like this: [x]. It will ensure that our team takes your pull request seriously. -->

- [x] I have read and followed the [contribution guidelines](https://contribute.freecodecamp.org).
- [x] I have read and followed the [how to open a pull request guide](https://contribute.freecodecamp.org/how-to-open-a-pull-request/).
- [x] My pull request targets the `main` branch of freeCodeCamp.
- [x] I have tested these changes either locally on my machine, or GitPod.

<!--If your pull request closes a GitHub issue, replace the XXXXX below with the issue number.-->

The main change of this PR is to get the data we want more directly (`nodes` rather than `edges` with nodes inside them) and only passing data that the components need (`challenges` rather than `nodes` with challenges inside them).

<!-- Feel free to add any additional description of changes below this line -->
",https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55751/comments,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55751/commits,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/statuses/6fda21f02157479d21ff4a419a70586d647549ba,CONTRIBUTOR
fix(curriculum): new step for empty title bug,https://github.com/freeCodeCamp/freeCodeCamp/pull/55730,55730,open,gagan-bhullar-tech,https://github.com/gagan-bhullar-tech,2024-08-02T18:27:27Z,2024-09-04T08:10:59Z,,,,,"[{'reviewer_name': 'naomi-lgbt', 'reviewer_url': 'https://github.com/naomi-lgbt'}]","['status: waiting review', 'scope: curriculum', 'scope: i18n']",,a867f919592b1297f4bd10af97733c7d6ae919eb,new-challenge-blank-space,main,"Checklist:

<!-- Please follow this checklist and put an x in each of the boxes, like this: [x]. It will ensure that our team takes your pull request seriously. -->

- [x] I have read and followed the [contribution guidelines](https://contribute.freecodecamp.org).
- [x] I have read and followed the [how to open a pull request guide](https://contribute.freecodecamp.org/how-to-open-a-pull-request/).
- [x] My pull request targets the `main` branch of freeCodeCamp.
- [x] I have tested these changes either locally on my machine, or GitPod.

<!--If your pull request closes a GitHub issue, replace the XXXXX below with the issue number.-->

Closes #54588

<!-- Feel free to add any additional description of changes below this line -->
",https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55730/comments,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55730/commits,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/statuses/a867f919592b1297f4bd10af97733c7d6ae919eb,CONTRIBUTOR
fix(curriculum): ensure complete removal of myTaskArr and related loc…,https://github.com/freeCodeCamp/freeCodeCamp/pull/55715,55715,open,ujjwal502,https://github.com/ujjwal502,2024-07-31T09:57:32Z,2024-09-04T01:17:16Z,,,,,[],"['status: waiting review', 'scope: curriculum']",,9cedbf4ca24c0f6d7364d729041ba2f82f3a42cd,issues/55714,main,"…alStorage items

Checklist:

<!-- Please follow this checklist and put an x in each of the boxes, like this: [x]. It will ensure that our team takes your pull request seriously. -->

- [x] I have read and followed the [contribution guidelines](https://contribute.freecodecamp.org).
- [x] I have read and followed the [how to open a pull request guide](https://contribute.freecodecamp.org/how-to-open-a-pull-request/).
- [x] My pull request targets the `main` branch of freeCodeCamp.
- [x] I have tested these changes either locally on my machine, or GitPod.

<!--If your pull request closes a GitHub issue, replace the XXXXX below with the issue number.-->

Closes #55714 

<!-- Feel free to add any additional description of changes below this line -->

This PR enhances the test cases to ensure that campers completely remove the myTaskArr array and all related localStorage items in their code. Previously, the tests would pass even if only one or two tasks were deleted. With these changes, the tests will require the camper to fully remove all instances of myTaskArr and any associated localStorage items to proceed.

Changes Made:

1. **Regex Pattern Update**: Modified the regex pattern in the assert.notMatch function to comprehensively check the absence of any references to myTaskArr and related localStorage items.
2. **Additional Assertions: Added assertions to ensure**:
   - No declaration or use of myTaskArr exists in the code.
   - No retrieval of localStorage item ""data"".
   -  No setting of localStorage item ""data"" with myTaskArr.

",https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55715/comments,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55715/commits,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/statuses/9cedbf4ca24c0f6d7364d729041ba2f82f3a42cd,NONE
feat: exam token UI,https://github.com/freeCodeCamp/freeCodeCamp/pull/55687,55687,open,Sembauke,https://github.com/Sembauke,2024-07-29T09:42:53Z,2024-07-29T11:58:51Z,,,,,[],"['status: blocked', 'platform: learn', 'scope: i18n', 'scope: tools/scripts']",,fad40d9fa40cbc3c3aae342ef8136388aa0331df,feat/create-exam-token-ui,main,"Checklist:

<!-- Please follow this checklist and put an x in each of the boxes, like this: [x]. It will ensure that our team takes your pull request seriously. -->

- [x] I have read and followed the [contribution guidelines](https://contribute.freecodecamp.org).
- [x] I have read and followed the [how to open a pull request guide](https://contribute.freecodecamp.org/how-to-open-a-pull-request/).
- [x] My pull request targets the `main` branch of freeCodeCamp.
- [x] I have tested these changes either locally on my machine, or GitPod.

<!--If your pull request closes a GitHub issue, replace the XXXXX below with the issue number.-->

blocked on: #55662

<!-- Feel free to add any additional description of changes below this line -->
",https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55687/comments,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55687/commits,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/statuses/fad40d9fa40cbc3c3aae342ef8136388aa0331df,MEMBER
feat(curriculum): create callback curriculum,https://github.com/freeCodeCamp/freeCodeCamp/pull/55668,55668,open,a2937,https://github.com/a2937,2024-07-26T00:53:18Z,2024-07-29T16:18:45Z,,,,,[],"['scope: curriculum', 'platform: learn', 'scope: i18n']",,53a92f6aac1b770db6f47ee5fcd567e696f6a924,feat(curriculum)/create-callback-curriculum,main,"Checklist:

<!-- Please follow this checklist and put an x in each of the boxes, like this: [x]. It will ensure that our team takes your pull request seriously. -->

- [X] I have read and followed the [contribution guidelines](https://contribute.freecodecamp.org).
- [X] I have read and followed the [how to open a pull request guide](https://contribute.freecodecamp.org/how-to-open-a-pull-request/).
- [X] My pull request targets the `main` branch of freeCodeCamp.
- [X] I have tested these changes either locally on my machine, or GitPod.

<!--If your pull request closes a GitHub issue, replace the XXXXX below with the issue number.-->

Closes #55052

<!-- Feel free to add any additional description of changes below this line -->
This is a draft that I'm about half-way through with that I plan on finishing soon. ",https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55668/comments,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55668/commits,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/statuses/53a92f6aac1b770db6f47ee5fcd567e696f6a924,MEMBER
feat(api): add exam-environment endpoints,https://github.com/freeCodeCamp/freeCodeCamp/pull/55662,55662,open,ShaunSHamilton,https://github.com/ShaunSHamilton,2024-07-25T13:53:09Z,2024-08-29T13:06:49Z,,,,,[],['platform: api'],,10c18abe2d2ef552a949a98b13babdaba3f081c8,feat_exam-environment-api,main,"
- [x] Boilerplate endpoints
- [x] Boilerplate schemas
- [x] Add token model to database
- [x] Finish endpoint impls
- [x] Finish schemas
- [ ] Add tests

**NOTE:** Merging will break `exam-env` and `exam-creator` build",https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55662/comments,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55662/commits,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/statuses/10c18abe2d2ef552a949a98b13babdaba3f081c8,MEMBER
fix(curriculum): build a survey form - update instructions,https://github.com/freeCodeCamp/freeCodeCamp/pull/55656,55656,open,nayelimdejesus,https://github.com/nayelimdejesus,2024-07-25T02:55:43Z,2024-08-23T19:27:19Z,,,,,[],"['scope: curriculum', 'status: waiting update']",,3baa2abffa1408bf807e395e9bfd3edda3c77495,Update-information-to-remind-users-to-save,main,"Checklist:

<!-- Please follow this checklist and put an x in each of the boxes, like this: [x]. It will ensure that our team takes your pull request seriously. -->

- [x] I have read and followed the [contribution guidelines](https://contribute.freecodecamp.org).
- [x] I have read and followed the [how to open a pull request guide](https://contribute.freecodecamp.org/how-to-open-a-pull-request/).
- [x] My pull request targets the `main` branch of freeCodeCamp.
- [x] I have tested these changes either locally on my machine, or GitPod.

<!--If your pull request closes a GitHub issue, replace the XXXXX below with the issue number.-->

Closes #54796 

<!-- Feel free to add any additional description of changes below this line -->
",https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55656/comments,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55656/commits,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/statuses/3baa2abffa1408bf807e395e9bfd3edda3c77495,CONTRIBUTOR
fix(curriculum): test passing with seed code in Decimal to binary converter,https://github.com/freeCodeCamp/freeCodeCamp/pull/55587,55587,open,gikf,https://github.com/gikf,2024-07-21T12:06:02Z,2024-08-11T20:23:21Z,,,,,[],"['scope: curriculum', 'status: waiting update', 'new javascript course']",,e1df2572af0836994dc23ac6c38d33836008258a,fix/decimal-to-binary-test-passing-with-seed,main,"Checklist:

- [x] I have read and followed the [contribution guidelines](https://contribute.freecodecamp.org).
- [x] I have read and followed the [how to open a pull request guide](https://contribute.freecodecamp.org/how-to-open-a-pull-request/).
- [x] My pull request targets the `main` branch of freeCodeCamp.
- [x] I have tested these changes either locally on my machine, or GitPod.

- - -
- Step 99 has only updated hint.
",https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55587/comments,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55587/commits,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/statuses/e1df2572af0836994dc23ac6c38d33836008258a,MEMBER
